fighter1,fighter2,fight_odds_url,Bet,5Dimes_win,Bet365_win,BetDSI_win,BetOnline_win,BookMaker_win,Bovada_win,Intertops_win,Pinnacle_win,SportBet_win,SportsInt_win,Sportsbook_win,William_H_win,meanodds_win,Winner_Cleaned,Loser_Cleaned,wiki_url,bestfightodds_winner,bestfightodds_loser,WeightClass,Winner,Outcome,Loser,Method,Round,Time,Notes,Card,Winner_url,Loser_url,event_order,Method_Cleaned,Card_Cleaned,Champion,Interim_Champion,Card_Date,#,Event,bet_won,5Dimes_lose,BetDSI_lose,BookMaker_lose,SportBet_lose,Bet365_lose,Bovada_lose,Sportsbook_lose,William_H_lose,Pinnacle_lose,SportsInt_lose,BetOnline_lose,Intertops_lose,meanodds_lose
Aalon Cruz,Spike Carlyle,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,Spike Carlyle,2.7,2.5,2.63,2.62,2.58,2.6,2.5,2.65,2.69,2.4,2.5,2.6,2.580833333333333,Spike Carlyle,Aalon Cruz,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Benavidez_vs._Figueiredo,Spike Carlyle,Aalon Cruz,Featherweight,Spike Carlyle,def,Aalon Cruz,TKO (punches),1.0,1:25,,Preliminary card (ESPN+),,,11,KO,Prelim,,,2020-02-29,511,UFC Fight Night: Benavidez vs. Figueiredo,1,1.5405405405405406,1.510204081632653,1.5,1.5376344086021505,1.5714285714285714,1.5,1.5405405405405406,1.5,1.5154639175257731,1.5555555555555556,1.53475935828877,1.526315789473684,1.5277035636323533
Aaron Phillips,Matt Hobar,https://www.bestfightodds.com/events/ufc-fight-night-49-henderson-vs-dos-anjos-846,Matt Hobar,1.4878048780487805,,1.4761904761904763,1.4761904761904763,1.4761904761904763,1.4444444444444444,,1.4901960784313726,1.4761904761904763,1.4504504504504505,1.4444444444444444,,1.4691224667312666,Matt Hobar,Aaron Phillips,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Henderson_vs._dos_Anjos,Matt Hobar,Aaron Phillips,Bantamweight,Matt Hobar,def,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Fox Sports 2),https://en.wikipedia.org/wiki/Matt_Hobar,,9,Unanimous Decision,Prelim,,,2014-08-23,287,UFC Fight Night: Henderson vs. dos Anjos,1,2.88,2.8,2.8,2.83,,2.75,2.8,,2.83,2.7,2.8,,2.7988888888888885
Aaron Phillips,Sam Sicilia,https://www.bestfightodds.com/events/ufc-173-barao-vs-dillashaw-786,Sam Sicilia,1.7142857142857144,,1.6896551724137931,1.6666666666666665,1.6896551724137931,1.625,,1.6849315068493151,1.704225352112676,1.6097560975609757,1.625,,1.667686186922548,Sam Sicilia,Aaron Phillips,https://en.wikipedia.org/wiki/UFC_173,Sam Sicilia,Aaron Phillips,Featherweight,Sam Sicilia,def,Aaron Phillips,"Decision (unanimous) (29–28, 29–28, 30–27)",3.0,5:00,,Preliminary card (UFC Fight Pass),https://en.wikipedia.org/wiki/Sam_Sicilia,,11,Unanimous Decision,Prelim,,,2014-05-24,273,UFC 173: Barão vs. Dillashaw,1,2.3,2.25,2.25,2.2800000000000002,,2.3,2.3,,2.3200000000000003,2.3,2.3,,2.288888888888889
Aaron Riley,Joe Brammer,https://www.bestfightodds.com/events/ufc-114-jackson-vs-evans-256,Aaron Riley,1.526315789473684,,,,1.5128205128205128,1.5405405405405406,,1.5076142131979695,1.526315789473684,,1.5405405405405406,,1.525691231007822,Aaron Riley,Joe Brammer,https://en.wikipedia.org/wiki/UFC_114,Aaron Riley,Joe Brammer,Lightweight,Aaron Riley,def,Joe Brammer,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Riley,,10,Unanimous Decision,Prelim,,,2010-05-29,152,UFC 114: Rampage vs. Evans,1,2.65,,2.55,2.65,,2.55,2.55,,2.77,,,,2.6199999999999997
Aaron Riley,Jorge Gurgel,https://www.bestfightodds.com/events/ufc-91-couture-vs-lesnar-98,Aaron Riley,2.1,,,,1.9090909090909092,1.8695652173913042,,2.17,1.9523809523809523,2.0,1.9523809523809523,,1.993345433034874,Aaron Riley,Jorge Gurgel,https://en.wikipedia.org/wiki/UFC_91,Aaron Riley,Jorge Gurgel,Lightweight,Aaron Riley,def,Jorge Gurgel,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Riley,https://en.wikipedia.org/wiki/Jorge_Gurgel,6,Unanimous Decision,Prelim,,,2008-11-15,119,UFC 91: Couture vs. Lesnar,1,1.7692307692307692,,1.8333333333333335,1.8,,1.8695652173913042,1.8,,1.7874015748031495,1.7194244604316546,,,1.7969936221700304
Aaron Riley,Justin Salas,https://www.bestfightodds.com/events/ufc-on-fox-8-johnson-vs-moraga-674,Justin Salas,1.4545454545454546,,1.4166666666666667,1.4081632653061225,1.4081632653061225,1.434782608695652,,1.434782608695652,1.4464285714285714,1.3401360544217686,1.4545454545454546,,1.4220237721790516,Justin Salas,Aaron Riley,https://en.wikipedia.org/wiki/UFC_on_Fox:_Johnson_vs._Moraga,Justin Salas,Aaron Riley,Lightweight,Justin Salas,def,Aaron Riley,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,,Preliminary card (Facebook),https://en.wikipedia.org/wiki/Justin_Salas,https://en.wikipedia.org/wiki/Aaron_Riley,11,Split Decision,Prelim,,,2013-07-27,241,UFC on Fox: Johnson vs. Moraga,1,3.0,2.9,2.95,2.96,,2.8,2.7,,3.05,3.0,2.95,,2.923333333333334
Aaron Riley,Ross Pearson,https://www.bestfightodds.com/events/ufc-105-couture-vs-vera-201,Ross Pearson,2.65,,,,2.5,2.6,,2.6100000000000003,2.6,2.55,2.7,,2.6014285714285714,Ross Pearson,Aaron Riley,https://en.wikipedia.org/wiki/UFC_105,Ross Pearson,Aaron Riley,Lightweight,Ross Pearson,def,Aaron Riley,TKO (doctor stoppage),2.0,4:38,,Main card,https://en.wikipedia.org/wiki/Ross_Pearson,https://en.wikipedia.org/wiki/Aaron_Riley,5,KO,Main Event,,,2009-11-14,139,UFC 105: Couture vs. Vera,1,1.5714285714285714,,1.526315789473684,1.4761904761904763,,1.5,1.4761904761904763,,1.558659217877095,1.4504504504504505,,,1.5084621402301077
Aaron Riley,Shane Nelson,https://www.bestfightodds.com/events/ufc-96-jackson-vs-jardine-125,Shane Nelson,3.0,,,,2.95,2.8,,3.0,2.8,,2.65,,2.866666666666667,Shane Nelson,Aaron Riley,https://en.wikipedia.org/wiki/UFC_96,Shane Nelson,Aaron Riley,Lightweight,Shane Nelson,def,Aaron Riley,TKO (punches),1.0,0:44,,Preliminary card,https://en.wikipedia.org/wiki/Shane_Nelson_(fighter),https://en.wikipedia.org/wiki/Aaron_Riley,10,KO,Prelim,,,2009-03-07,127,UFC 96: Jackson vs. Jardine,1,1.4166666666666667,,1.4081632653061225,1.4166666666666667,,1.4444444444444444,1.4878048780487805,,1.4545454545454546,,,,1.4380485626130228
Aaron Riley,Shane Nelson,https://www.bestfightodds.com/search?query=UFC%20101%3A%20Declaration,Aaron Riley,1.625,,,,1.606060606060606,,,1.6329113924050633,1.6451612903225805,1.529100529100529,1.625,,1.6105389696481298,Aaron Riley,Shane Nelson,https://en.wikipedia.org/wiki/UFC_101,Aaron Riley,Shane Nelson,Lightweight,Aaron Riley,def,Shane Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,"This bout, originally scheduled for the preliminary card, was moved to the main card due to time constraints.",Main card,https://en.wikipedia.org/wiki/Aaron_Riley,https://en.wikipedia.org/wiki/Shane_Nelson_(fighter),3,Unanimous Decision,Main Event,,,2009-08-08,134,UFC 101: Declaration,1,2.4,,2.35,2.25,,,2.3,,2.4299999999999997,2.37,,,2.35
Aaron Riley,Tony Ferguson,https://www.bestfightodds.com/events/ufc-135-jones-vs-rampage-417,Tony Ferguson,1.3076923076923077,,,,1.289855072463768,1.2857142857142856,,1.3067484662576687,1.3021148036253776,1.25,1.2857142857142856,,1.2896913173525277,Tony Ferguson,Aaron Riley,https://en.wikipedia.org/wiki/UFC_135,Tony Ferguson,Aaron Riley,Lightweight,Tony Ferguson,def,Aaron Riley,TKO (corner stoppage),1.0,5:00,,Preliminary card (Spike TV),https://en.wikipedia.org/wiki/Tony_Ferguson_(fighter),https://en.wikipedia.org/wiki/Aaron_Riley,6,KO,Prelim,,,2011-09-24,184,UFC 135: Jones vs. Rampage,1,3.95,,3.75,3.89,,3.75,3.75,,3.86,3.5,,,3.7785714285714285
Aaron Rosa,James Te Huna,https://www.bestfightodds.com/events/ufc-on-fx-2-alves-vs-kampmann-487,James Te Huna,3.6,,,,3.6,3.6,,3.6,3.6,3.6,3.6,,3.6000000000000005,James Te Huna,Aaron Rosa,https://en.wikipedia.org/wiki/UFC_on_FX:_Alves_vs._Kampmann,James Te Huna,Aaron Rosa,Light Heavyweight,James Te Huna,def,Aaron Rosa,TKO (punches),1.0,2:08,,Preliminary Card (Fuel TV),https://en.wikipedia.org/wiki/James_Te_Huna,https://en.wikipedia.org/wiki/Aaron_Rosa,5,KO,Prelim,,,2012-03-03,200,UFC on FX: Alves vs. Kampmann,1,3.6,,3.6,3.6,,3.6,3.6,,3.6,3.6,,,3.6000000000000005
Aaron Rosa,Joey Beltran,https://www.bestfightodds.com/events/ufc-131-carwin-vs-dos-santos-358,Joey Beltran,2.35,,,,2.35,2.35,,2.3600000000000003,2.35,2.3,,,2.3433333333333337,Joey Beltran,Aaron Rosa,https://en.wikipedia.org/wiki/UFC_131,Joey Beltran,Aaron Rosa,Heavyweight,Joey Beltran,def,Aaron Rosa,TKO (punches),3.0,1:26,,Preliminary card (Facebook),https://en.wikipedia.org/wiki/Joey_Beltran,https://en.wikipedia.org/wiki/Aaron_Rosa,11,KO,Prelim,,,2011-06-11,177,UFC 131: dos Santos vs. Carwin,1,1.6451612903225805,,1.606060606060606,1.6451612903225805,,1.606060606060606,,,1.6666666666666665,1.5494505494505495,,,1.6197601681472646
Aaron Rosa,Matt Lucas,https://www.bestfightodds.com/events/ufc-on-fox-1-velasquez-vs-dos-santos-442,Aaron Rosa,1.7142857142857144,,,,1.6666666666666665,1.7142857142857144,,1.7633587786259541,1.72992700729927,1.5988023952095807,1.7407407407407407,,1.7040095738733771,Aaron Rosa,Matt Lucas,https://en.wikipedia.org/wiki/UFC_on_Fox:_Velasquez_vs._dos_Santos,Aaron Rosa,Matt Lucas,Light Heavyweight,Aaron Rosa,def,Matt Lucas,"Decision (majority) (28–28, 30–26, 30–26)",3.0,5:00,Lucas had 1 point deducted in round 2 for dropping his mouthpiece for the second time.,Preliminary card (Facebook),https://en.wikipedia.org/wiki/Aaron_Rosa,,10,Unanimous Decision,Prelim,,,2011-11-12,189,UFC on Fox: Velasquez vs. dos Santos,1,2.2,,2.2,2.23,,2.1,2.05,,2.19,2.2,,,2.1671428571428573
Aaron Simpson,Brad Tavares,https://www.bestfightodds.com/events/ufc-132-cruz-vs-faber-381,Aaron Simpson,1.4166666666666667,,,,1.4166666666666667,1.3636363636363638,,1.425531914893617,1.4273504273504274,1.4,1.3636363636363638,,1.4019269146928721,Aaron Simpson,Brad Tavares,https://en.wikipedia.org/wiki/UFC_132,Aaron Simpson,Brad Tavares,Middleweight,Aaron Simpson,def,Brad Tavares,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (Facebook),https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Brad_Tavares,9,Unanimous Decision,Prelim,,,2011-07-02,179,UFC 132: Cruz vs. Faber,1,3.0,,2.9,3.06,,3.15,3.15,,3.1,2.75,,,3.015714285714286
Aaron Simpson,Chris Leben,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-11-finale-262,Chris Leben,3.8,,,,3.8,,,3.61,3.8,3.3,,,3.662,Chris Leben,Aaron Simpson,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_Liddell_vs._Team_Ortiz_Finale,Chris Leben,Aaron Simpson,Middleweight,Chris Leben,def,Aaron Simpson,TKO (punches),2.0,4:17,,Main Card,https://en.wikipedia.org/wiki/Chris_Leben,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),3,KO,Main Event,,,2010-06-19,154,The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,1,1.3225806451612903,,1.2857142857142856,1.3225806451612903,,,,,1.3378378378378377,1.289855072463768,,,1.3117136972676942
Aaron Simpson,Ed Herman,https://www.bestfightodds.com/events/ufc-102-couture-vs-nogueira-156,Aaron Simpson,2.05,,,,1.8333333333333335,2.05,,2.1100000000000003,2.0,2.0,1.8695652173913042,,1.9875569358178053,Aaron Simpson,Ed Herman,https://en.wikipedia.org/wiki/UFC_102,Aaron Simpson,Ed Herman,Middleweight,Aaron Simpson,def,Ed Herman,TKO (knee injury),2.0,0:17,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Ed_Herman_(mixed_martial_artist),6,KO,Prelim,,,2009-08-29,135,UFC 102: Couture vs. Nogueira,1,1.8,,1.9090909090909092,1.7692307692307692,,1.7407407407407407,1.8695652173913042,,1.8130081300813008,1.7194244604316546,,,1.8030086038523823
Aaron Simpson,Eric Schafer,https://www.bestfightodds.com/events/ufc-136-edgar-vs-maynard-3-423,Aaron Simpson,1.25,,,,1.25,1.25,,1.2659574468085106,1.25,1.2197802197802199,1.2,,1.240819666655533,Aaron Simpson,Eric Schafer,https://en.wikipedia.org/wiki/UFC_136,Aaron Simpson,Eric Schafer,Middleweight,Aaron Simpson,def,Eric Schafer,"Decision (unanimous) (30–27, 30–27, 30–27)",3.0,5:00,,Preliminary card (Facebook),https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Eric_Schafer,10,Unanimous Decision,Prelim,,,2011-10-08,186,UFC 136: Edgar vs. Maynard III,1,4.25,,4.0,4.25,,4.0,4.0,,4.26,3.75,,,4.072857142857143
Aaron Simpson,Kenny Robertson,https://www.bestfightodds.com/events/ufc-on-fuel-tv-4-munoz-vs-weidman-545,Aaron Simpson,1.3278688524590163,,,1.3448275862068966,1.3333333333333333,1.3225806451612903,,1.3257328990228012,1.3215434083601285,1.2777777777777777,1.3333333333333333,,1.3233747294568223,Aaron Simpson,Kenny Robertson,https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Mu%C3%B1oz_vs._Weidman,Aaron Simpson,Kenny Robertson,Welterweight,Aaron Simpson,def,Kenny Robertson,"Decision (unanimous) (30–27, 29–28, 29–28)",3.0,5:00,,Main Card (Fuel TV),https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Kenny_Robertson,3,Unanimous Decision,Main Event,,,2012-07-11,211,UFC on Fuel TV: Muñoz vs. Weidman,1,3.75,,3.4,3.69,,3.4,3.4,,3.7,3.5,3.45,,3.53625
Aaron Simpson,Mario Miranda,https://www.bestfightodds.com/events/ufc-fight-night-24-nogueira-vs-davis-354,Aaron Simpson,1.4761904761904763,,,,1.4761904761904763,1.4444444444444444,,1.5128205128205128,1.4761904761904763,,1.4761904761904763,,1.477004477004477,Aaron Simpson,Mario Miranda,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Nogueira_vs._Davis,Aaron Simpson,Mario Miranda,Middleweight,Aaron Simpson,def,Mario Miranda,"Decision (unanimous) (30–27, 30–27, 30–26)",3.0,5:00,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Mario_Miranda_(fighter),11,Unanimous Decision,Prelim,,,2011-03-26,173,UFC Fight Night: Nogueira vs. Davis,1,2.75,,2.7,2.75,,2.85,2.7,,2.75,,,,2.75
Aaron Simpson,Mark Munoz,https://www.bestfightodds.com/events/ufc-123-rampage-vs-machida-317,Mark Munoz,1.7246376811594204,,,,1.6896551724137931,1.7407407407407407,,1.7633587786259541,1.704225352112676,1.5714285714285714,1.6666666666666665,,1.6943875661639745,Mark Muñoz,Aaron Simpson,https://en.wikipedia.org/wiki/UFC_123,Mark Munoz,Aaron Simpson,Middleweight,Mark Muñoz,def,Aaron Simpson,"Decision (unanimous) (29–28, 29–28, 29–28)",3.0,5:00,,Preliminary card (Spike TV),https://en.wikipedia.org/wiki/Mark_Mu%C3%B1oz,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),7,Unanimous Decision,Prelim,,,2010-11-20,164,UFC 123: Rampage vs. Machida,1,2.2800000000000002,,2.15,2.2800000000000002,,2.05,2.2,,2.19,2.25,,,2.2
Aaron Simpson,Mike Pierce,https://www.bestfightodds.com/events/ufc-on-fx-5-browne-vs-bigfoot-579,Mike Pierce,1.5714285714285714,,1.606060606060606,1.5714285714285714,1.5714285714285714,1.5405405405405406,,1.5714285714285714,1.5813953488372094,1.5555555555555556,1.5,,1.5632518151897996,Mike Pierce,Aaron Simpson,https://en.wikipedia.org/wiki/UFC_on_FX:_Browne_vs._Bigfoot,Mike Pierce,Aaron Simpson,Welterweight,Mike Pierce,def,Aaron Simpson,KO (punches),2.0,0:29,,Preliminary Card (Fuel TV),https://en.wikipedia.org/wiki/Mike_Pierce,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),6,KO,Prelim,,,2012-10-05,217,UFC on FX: Browne vs. Bigfoot,1,2.55,2.35,2.45,2.58,,2.5,2.6,,2.58,2.4,2.55,,2.5066666666666664
Aaron Simpson,Ronny Markes,https://www.bestfightodds.com/events/ufc-on-fuel-tv-1-ellenberger-vs-sanchez-485,Ronny Markes,1.8333333333333335,,,,1.7692307692307692,1.8695652173913042,,1.9090909090909092,1.8547008547008548,1.900900900900901,1.8695652173913042,,1.858055314577054,Ronny Markes,Aaron Simpson,https://en.wikipedia.org/wiki/UFC_on_Fuel_TV:_Sanchez_vs._Ellenberger,Ronny Markes,Aaron Simpson,Middleweight,Ronny Markes,def,Aaron Simpson,"Decision (split) (29–28, 28–29, 29–28)",3.0,5:00,,Main Card (Fuel TV),https://en.wikipedia.org/wiki/Ronny_Markes,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),3,Split Decision,Main Event,,,2012-02-15,198,UFC on Fuel TV: Sanchez vs. Ellenberger,1,2.0,,2.0,2.0300000000000002,,1.8695652173913042,1.8695652173913042,,2.0,1.8,,,1.9384472049689443
Aaron Simpson,Tim McKenzie,https://www.bestfightodds.com/events/ufc-fight-night-18-condit-vs-kampmann-129,Aaron Simpson,1.5555555555555556,,,,1.5,1.5714285714285714,,,,1.5988023952095807,1.5714285714285714,,1.5594430187244557,Aaron Simpson,Tim McKenzie,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Condit_vs._Kampmann,Aaron Simpson,Tim McKenzie,Middleweight,Aaron Simpson,def,Tim McKenzie,TKO (punches),1.0,1:40,,Preliminary card,https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Tim_McKenzie,11,KO,Prelim,,,2009-04-01,128,UFC Fight Night: Condit vs. Kampmann,1,2.5,,2.6,,,2.45,2.45,,,2.2,,,2.44
Aaron Simpson,Tom Lawlor,https://www.bestfightodds.com/events/ufc-fight-night-20-maynard-vs-diaz-224,Aaron Simpson,1.3125,,,,1.3174603174603174,1.3076923076923077,,1.3496503496503496,1.303030303030303,,1.3389830508474576,,1.321552721446789,Aaron Simpson,Tom Lawlor,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Maynard_vs._Diaz,Aaron Simpson,Tom Lawlor,Middleweight,Aaron Simpson,def,Tom Lawlor,"Decision (split) (28–29, 29–28, 29–28)",3.0,5:00,,Main card (Spike TV),https://en.wikipedia.org/wiki/Aaron_Simpson_(fighter),https://en.wikipedia.org/wiki/Tom_Lawlor,3,Split Decision,Main Event,,,2010-01-11,144,UFC Fight Night: Maynard vs. Diaz,1,3.6,,3.55,3.5,,3.5,3.35,,3.53,,,,3.5050000000000003
Aaron Wilkinson,Cody McKenzie,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-12-finale-330,Cody McKenzie,1.8695652173913042,,,,1.7407407407407407,1.7692307692307692,,1.8771929824561404,1.8695652173913042,,1.7407407407407407,,1.8111726113251667,Cody McKenzie,Aaron Wilkinson,https://en.wikipedia.org/wiki/The_Ultimate_Fighter:_Team_GSP_vs._Team_Koscheck_Finale,Cody McKenzie,Aaron Wilkinson,Lightweight,Cody McKenzie,def,Aaron Wilkinson,Submission (guillotine choke),1.0,2:03,This bout aired on the broadcast following the Maia vs Grove bout.,Preliminary card,https://en.wikipedia.org/wiki/Cody_McKenzie,,6,Sub,Prelim,,,2010-12-04,165,The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,1,1.9523809523809523,,2.05,1.9523809523809523,,2.0,2.05,,2.0300000000000002,,,,2.0057936507936507
Abdul Razak Alhassan,Charlie Ward,https://www.bestfightodds.com/events/ufc-fight-night-99-mousasi-vs-hall-2-1184,Abdul Razak Alhassan,1.3225806451612903,,1.3333333333333333,1.3278688524590163,1.3333333333333333,1.3174603174603174,,1.3311258278145695,1.3164556962025316,,1.3389830508474576,1.3003003003003002,1.324604595212461,Abdul Razak Alhassan,Charlie Ward,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Mousasi_vs._Hall_2,Abdul Razak Alhassan,Charlie Ward,Welterweight,Abdul Razak Alhassan,def,Charlie Ward,KO (punches),1.0,0:53,,Preliminary Card (UFC Fight Pass),https://en.wikipedia.org/wiki/Abdul_Razak_Alhassan,https://en.wikipedia.org/wiki/Charlie_Ward_(fighter),13,KO,Prelim,,,2016-11-19,378,UFC Fight Night: Mousasi vs. Hall 2,1,3.8,3.5,3.5,3.74,,3.45,3.3,3.5,3.6,,3.55,,3.5488888888888894
Abdul Razak Alhassan,Niko Price,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530,Abdul Razak Alhassan,1.8695652173913042,,1.8333333333333335,1.8130081300813008,1.8130081300813008,1.8,1.7692307692307692,1.8547008547008548,1.8547008547008548,1.7692307692307692,1.8,1.8,1.816070732613681,Abdul Razak Alhassan,Niko Price,https://en.wikipedia.org/wiki/UFC_228,Abdul Razak Alhassan,Niko Price,Welterweight,Abdul Razak Alhassan,def,Niko Price,KO (punch),1.0,0:43,,Main Card,https://en.wikipedia.org/wiki/Abdul_Razak_Alhassan,https://en.wikipedia.org/wiki/Niko_Price,5,KO,Main Event,,,2018-09-08,450,UFC 228: Woodley vs. Till,1,2.05,1.9090909090909092,2.0300000000000002,2.0300000000000002,,1.9523809523809523,1.9523809523809523,2.0,2.04,2.0,2.0300000000000002,2.0,1.9994411648957104
Abdul Razak Alhassan,Omari Akhmedov,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265,Omari Akhmedov,2.9,,2.85,2.95,2.85,2.95,,2.95,2.96,3.2,3.07,3.1,2.9779999999999998,Omari Akhmedov,Abdul Razak Alhassan,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Gustafsson_vs._Teixeira,Omari Akhmedov,Abdul Razak Alhassan,Welterweight,Omari Akhmedov,def,Abdul Razak Alhassan,"Decision (split) (30–27, 28–29, 30–27)",3.0,5:00,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/Omari_Akhmedov,https://en.wikipedia.org/wiki/Abdul_Razak_Alhassan,4,Split Decision,Main Event,,,2017-05-28,398,UFC Fight Night: Gustafsson vs. Teixeira,1,1.434782608695652,1.4385964912280702,1.4385964912280702,1.4464285714285714,,1.4,1.3846153846153846,1.3597122302158273,1.4484304932735426,1.3333333333333333,1.434782608695652,,1.4119278212714106
Abdul Razak Alhassan,Sabah Homasi,https://www.bestfightodds.com/events/ufc-220-miocic-vs-ngannou-1406,Abdul Razak Alhassan,1.5555555555555556,,1.4524886877828054,1.5128205128205128,1.510204081632653,1.4878048780487805,1.5,1.5319148936170213,1.5524861878453038,1.4545454545454546,1.5,1.4405286343612334,1.4998498987463018,Abdul Razak Alhassan,Sabah Homasi,https://en.wikipedia.org/wiki/UFC_220,Abdul Razak Alhassan,Sabah Homasi,Welterweight,Abdul Razak Alhassan,def,Sabah Homasi,KO (punch),1.0,3:47,,Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Abdul_Razak_Alhassan,https://en.wikipedia.org/wiki/Sabah_Homasi,7,KO,Prelim,,,2018-01-20,426,UFC 220: Miocic vs. Ngannou,1,2.6799999999999997,2.71,2.67,2.6399999999999997,,2.65,2.65,2.75,2.66,2.65,2.7,2.6,2.669090909090909
Abdul-Kerim Edilov,Bojan Mihajlovic,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310,Abdul-Kerim Edilov,1.1626016260162602,,1.1647446457990116,1.1538461538461537,1.1647446457990116,1.1538461538461537,1.1538461538461537,1.1721170395869192,1.1602564102564104,1.18348623853211,1.1428571428571428,1.1700680272108843,1.1620376579632918,Abdul-Kerim Edilov,Bojan Mihajlović,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Volkov_vs._Struve,Abdul-Kerim Edilov,Bojan Mihajlovic,Light Heavyweight,Abdul-Kerim Edilov,def,Bojan Mihajlović,TKO (punches),2.0,2:32,,Preliminary Card (UFC Fight Pass),,https://en.wikipedia.org/wiki/Bojan_Mihajlovi%C4%87_(fighter),11,KO,Prelim,,,2017-09-02,409,UFC Fight Night: Volkov vs. Struve,1,6.1,5.49,5.49,6.01,,5.25,5.75,5.0,5.68,4.6,5.75,5.25,5.488181818181818
Abel Trujillo,Gleison Tibau,https://www.bestfightodds.com/events/ufc-fight-night-77-belfort-vs-henderson-3-997,Abel Trujillo,2.15,,2.0,2.0,2.0,2.05,,2.15,2.13,2.0,2.0,,2.0533333333333337,Abel Trujillo,Gleison Tibau,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Belfort_vs._Henderson_3,Abel Trujillo,Gleison Tibau,Lightweight,Abel Trujillo,def,Gleison Tibau,Disqualification (overturned),1.0,1:45,"Originally a technical submission (rear-naked choke) win for Tibau, the result was overturned due to Tibau testing positive for erythropoietin.",Preliminary Card (Fox Sports 1),https://en.wikipedia.org/wiki/Abel_Trujillo,https://en.wikipedia.org/wiki/Gleison_Tibau,7,,Prelim,,,2015-11-07,337,UFC Fight Night: Belfort vs. Henderson 3,1,1.8,1.7692307692307692,1.7692307692307692,1.7874015748031495,,1.7407407407407407,1.7692307692307692,,1.7874015748031495,1.7692307692307692,1.8333333333333335,,1.7806444778448274
Abel Trujillo,James Vick,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226,James Vick,1.8695652173913042,,1.7692307692307692,1.8695652173913042,1.7692307692307692,1.8,,1.847457627118644,1.8547008547008548,1.8333333333333335,1.8,1.9090909090909092,1.8322174697487887,James Vick,Abel Trujillo,https://en.wikipedia.org/wiki/UFC_Fight_Night:_Bermudez_vs._The_Korean_Zombie,James Vick,Abel Trujillo,Lightweight,James Vick,def,Abel Trujillo,Submission (D'arce choke),3.0,0:49,,Main Card (Fox Sports 1),https://en.wikipedia.org/wiki/James_Vick,https://en.wikipedia.org/wiki/Abel_Trujillo,3,Sub,Main Event,,,2017-02-04,388,UFC Fight Night: Bermudez vs. The Korean Zombie,1,2.05,2.1,2.1,2.0300000000000002,,1.9523809523809523,1.9523809523809523,1.9090909090909092,2.05,1.9090909090909092,1.9523809523809523,,2.000532467532468
